0, 0
1, 0
2, 1
3, 2
4, 3
5, 4
6, 5
7, 6
8, 7
9, 8
10, 9
11, 10
12, 11
13, 12
14, 13
15, 14
16, 15
17, 16
18, 18
19, 15
20, 19
21, 21
22, 11
23, 22
24, 23
25, 24
26, 25
27, 26
28, 28
29, 25
30, 29
31, 30
32, 31
33, 32
34, 33
35, 34
36, 35
37, 36
38, 36
39, 37
40, 37
41, 38
42, 39
43, 40
44, 41
45, 42
46, 43
47, 46
48, 44
49, 47
50, 45
51, 49
52, 51
53, 49
54, 47
55, 53
56, 48
57, 55
58, 57
59, 58
60, 50
61, 59
62, 50
63, 63
64, 59
65, 52
66, 66
67, 58
68, 54
69, 67
70, 70
71, 56
72, 68
73, 56
74, 65
75, 56
76, 74
77, 76
78, 78
79, 76
80, 80
81, 74
82, 60
83, 60
84, 81
85, 85
86, 71
87, 62
88, 86
89, 71
90, 89
91, 90
92, 91
93, 92
94, 93
95, 95
96, 93
97, 72
98, 96
99, 98
100, 73
101, 99
102, 101
103, 102
104, 103
105, 104
106, 104
107, 105
108, 107
109, 105
110, 109
111, 106
112, 110
113, 112
114, 113
115, 108
116, 114
117, 116
118, 117
119, 111
120, 118
121, 120
122, 121
